Message,sentiment
Guys... Kindly help me pass on the invitation to all your parents... Don't have some of their numbers.  Your help is appreciated. Thank you,positive
"*I LIVE IN A SHITHOLE*I have watched with concern how Ugandans and other African Citizens responded to *Mr Trump's* Correct Description of our habitats Africa. My Fellow *Shitholese or Shitholans* don't you see what he said was correct?*_Few Indicators that we in Uganda are more than Shitholans_*1-An MP's Salary is more than Healthcare Budget for 1,000,000 Shitholans. _Ugandan General Hospitals get about 200million Ugx per year while a single MP get 340million Ugx per year with regular huge bribe of say 29million etc_2-Health Centre IV which gets 28million per year is to serve 100,000 Shitholans. Take Arua Municipal with population of about 90,000 gets 28million per year for their Health 10 times what their MP gets.3-It is only in Uganda that A president does not work for his country but his children and grandchildren. _the same person can say African problem is their leaders who over stay in power. That means M7 in 1986 acknowledged that we are in a *SHITHOLE* which unfortunately he got used to the unpleasant smell of the SHITHOLE to the extend that he sees no reason to call it so_5-It is only in a SHITHOLE  country that a S.2 Drop out can be an  MP and when he pee in Public he sees nothing wrong with it. Don't you think a place where a MP urinate on the wall of National Ministry of Finance to be a really horrible SHITHOLE?6-In a shithole is where a Sector like Agriculture which Employs about 80% of the Population gets less than 3% of National Budget.7-In a SHITHOLE Country like mine a Primary teacher gets 110$ per Month but an MP gets 500$ per day as SDA when he crosses the Country. The same MP then Wanders why his children in Primary seven perform poorly.8-In a SHITHOLE you will have a Minister who gets treatment in outside country(Both Ministers of Health) daughter of a good President can not give birth in a National Referral Hospitals.9-Look around if you have teachers who send their children to study in a private school not the one where he/she teaches. Where you see a Doctor not getting treatment from where he/she works then know that either you are in a shithole or worse place than SHITHOLE.10-If you have citizens who vote because they received bribe from their leaders then know that you are Shitholan like me._Ugandans complain when their MPs receive bribe from M7 to lift age limit but they never complain while receiving 2000Ugx each to vote for such an MP. *What goes around comes around* lets enjoy our SHITHOLE Uganda.I used to hate *Mr Trump* but regrete my actions. We need another *Mr Trump in UK, France, Germany and China*. Cut donation to all these Shitholans who can't even maintain Blood Transfusion Services but steal the money meant to keep their Citizens healthy and alive.*_Share to all SHITHOLE Citizens like me_*😤😤😤😤haha...forwarded as received..",positive
👏👏👏👏👏👏,positive
"If you have received Pictures of Donald Trump suffering from a  stroke, please do not open it but  delete it immediately because it will destroy all info in your computer & handphone. Please pass this to all your friends & groups.",positive
Thanks to you all 🙏🙏🙏 God bless you,positive
Thank you all who made it. May their souls continue to rest in eternal peace.,positive
Thank you for representing fam. Very sorry I couldn't make it.,positive
"Thanks for making it. Apologies for not making it but we continue to pray for them, for the love they showered us, for the foresightedness they had, for their goodness joy and happiness they shared with us, we appreciate and celebrate them while praising the Lord for allowing us to experience their presence. May their souls rest in peace Amen.",positive
🙏🏽Amen,positive
Amen!,positive
Amen!,positive
Amen... apologies for not making it,positive
Thanks a trillion my lovely Tonny. Blessings to you all my dears for the great offer of mass for the loved ones.,positive
🤣🤣🤣🤣🤣🤣  i mean!,positive
😏😏,positive
i like,positive
How I head to work on a Friday,positive
😂😂😂😂😃 u and I both,positive
🤣🤣🤣🤣🤣🤣🤣🤣,positive
Its such a good feeling! But please forgive me if I'll not take a lift from you on Friday morning.,positive
(Especially if I have to sit in the passenger seat),positive
Friday morning and then there is saturday evenings,positive
Naye gha who are u pulling like that,positive
Olivia Kay,positive
😂😂🤣🤣🤣 olivia u are deaddo,positive
Hehhehehehehe Solomon...to the back seat it will be,positive
@Ben...this is how you drive everyday 😫,positive
Hahahhahahaha. .. I kid u not. No denying this one Ben...ok except for mkmday morning,positive
Bwahahahahhahahahahahhahahahahahahahahahahahahahahahahahahahahahhahahahahahahahahaahahaha 😂😂😂😂😂This jst cracked me up,positive
Eh poor passengers.... Ben ngaha,positive
You know it ... .. as long as the chuuuuuine comes up ... don't be in that passenger seat ..,positive
Gayaza hug👆🏼👆🏼👆🏼,positive
"There is a Whatsap group called' *Interschools*. If invited, don't join the group. It belongs to Daesh(ISIS). If you join the group you will not be able to exit from it.  Be vigilant. Please inform others. My dear send it to your relatives and children on Whatsap so that they will also be careful.",positive
A CERTAIN GIRL IN MASAKA HAS BEEN ATTACKED BY HER CLAN GHOSTS ON HER WEDDING DAY WHICH LEFT HER UNDRESSED.WOWEN CAN HAVE BAD HEARTS IN UGANDA.SHARE THE POST.,positive
Those pictures are actually from a movie.... not real life,positive
Lol... Do u seee how serious the camera guys are?! 😱,positive
"Do you know any vulnarable child who have passed his/her P.L.E with 4-12? or he/she might be a continuing student of S2-S4 Who passes with (8-12)in 8, Youth league Africa  has a full bursary scheme for them in best schools around Kampala. S5 and S6 packages are coming very soon. Contact us on +256705461970, or 0775637678. Please Dont sit in this Message, share it untill it reaches to the person in need. Thanks",positive
Otyo...,positive
🤣,positive
Kijja kugwa....,positive
"WHISPER OF HOPE DEVOTIONALSUNDAY – 21st JANUARY 2018SCRIPTURE REFERENCEMATTHEW 6:31-33“Therefore do not worry, saying, ‘What shall we eat?’ or ‘What shall we drink?’ or ‘What shall we wear?’ For after all these things the Gentiles seek. For your heavenly Father knows that you need all these things. But seek first the kingdom of God and His righteousness, and all these things shall be added to you.""REFLECTIONTo worry is to “give way to anxiety or unease; allow one’s mind to dwell on difficulty or trouble.” The word itself comes from the Old English wyrgan, which means to strangle or to seize by the throat. Worry happens when you are so concerned about the problems of life that you can’t think of nothing else. It is an all-consuming feeling of uncertainty and fear. Worry displaces God in your life. When you worry, you are living as though God did not exist, and you are living as though you alone can solve your problems. Worry also distracts you from the things that really matter in life. As long as you are worrying, you can’t do anything else. You are strangled by worry.PRAYERFather today I refuse to be weary in my soul by worrying. I Put my hope and trust in Jesus. It is well with me in Jesus name!",positive
"Ooh good, it was ekina Uganda film 👇🏾",positive
😂😂😂😂😂,positive
Banange John! Your pictures occupy half my phone memory,positive
Get a bigger phone,positive
Buy a phone with bigger memory capacity ..totukuba naku yo...,positive
Bring the money,positive
I can’t spend my Sunday deleting repeated pictures,positive
This is where I sorta miss the windows phone...allowed me to avoid media downloads per chat.....Android/iOS setting only accepts for all chats not just one,positive
Oba why don't you listen?,positive
Oba why don't you let it go,positive
Consider your friends and relatives and not send pictures and videos,positive
!!!!,positive
Is this directed to me,positive
Gone,positive
"""Entamu yo ewunzikibwa leero"" a Luganda word literally meaning that 'You are dying today' said the two men disguised as electricty subcontractor workers as they tried to slit the throat of a defenceless 51-year-old woman in Jjanda Namugongo Zone, Kira Municipality Wakiso District.Kira Division Police is holding two men for alleged attempted murder CRB:02/2018.The suspects identified as Ssekiyivu Mohammed and Kibuuka Farouk were tipped off about a woman that had received 150million Uganda shillings the previous day.The two men disguised as HASO Engeeners Company workers a company located in Kiwatule working as a subcontractor to UMEME  (Uganda's Leading Electricity Distribution Company) entered the premises of one NasoziVictoria at around 1:30pm dressed in overalls and requested to inspect the YAKA meter.The kids suspected the men were not behaving like electric workers hence decided to follow and monitor them as they inspected the meter. Its at this point that they were ordered to enter the bedroom,locked up and told to say their final prayersVictoria narrates that one of the men held her by the neck, pulled an axe from the trouser,a cello tape,rope, hit her forehead and began to slit her throat with a small sharp knifeIt was at this point as the helpless woman began to cry begging for mercy that the house maid made a loud alarm through the back window attracting help and attention from all the neighbors .Police was alerted immediately and swung in saving the men from being lynched by the angry mob.While calming down the angry mob, DPC Kira Division ASP. Kiribwa Shifah advised the residents to tighten home security by always demanding for identification from the servicemen,always have numbers of the utility area managers and embrace  the Mayumba Kumi System where every one is one another's keeper.HASO Engineers Company Limited supervisors on visiting the police station could not identify and completely denied the two suspects being their employees.",positive
"@16178173376,@256759071143 we going back to the promised land ... on the back of the G.O.A.T... #letsgoPATS",positive
😂😂😂😂😂lets go,positive
Woop woop!,positive
"*Whatever comes your way as you journey into this New Year, remember the lesson of this story...*👇A little boy and his father visited the country store, and upon leaving the store, the owner of the store offered the little boy some free Sweets... “Get a hand full of Sweets"", the merchant said to the boy.The boy just stood there looking up at his father. The owner repeated himself:- “Son get a hand full of Sweets... it’s free.” Again the boy did not move, continuing to look up in the face of his father.Finally the father reached into the candy jar and got a hand full of Sweets and gave it to his son.As they walked back home, the father stopped and asked his son why he did not grab a hand full of the free candy. The boy with a big smile on his face looked into the face of his father and said:- *“Because I know that your HAND is BIGGER than mine.”*So, whatever your needs are  this year, please place them in the *FATHER'S HAND IN HEAVEN,* because HIS HAND is BIGGER THAN YOURS. 🙏🙏🙏",positive
Clever boy,positive
smart indeed,positive
"*UBUNTU* ! *UBUNTU* !! *UBUNTU* !!!A very nice story from South Africa ...The motivation behind the Ubuntu culture in South Africa ...An Anthropologist proposed a game to the South African tribal children ...He placed a basket of sweets near a tree.And made the children stand 100 metres away from the tree.Then he announced that, whoever becomes the first person to reach where the sweets are, would get all the sweets in the basket.When he said: *on your mark, get set, ready go.......!**Do you know what these children did?*They all held each other's hands and ran together towards the tree. They then shared the sweets equally among themselves, ate the sweets and enjoyed themselves very well.When the Anthropologist asked them why they did so?,They *all* answered *""Ubuntu""*.Which means:-*How can one be happy when the others are sad?*Ubuntu in their language means: -*""I am because we are""*This is a *strong message* for all generations. Let all of us always have this attitude and spread happiness wherever we go.Let's have an *Ubuntu* Life ..._*for*_*I AM BECAUSE WE ARE*",positive
Mpozi what's the dstv call center number,positive
"Lool! Hw I wish I CD be that real😂😂😂😂😅😅..""Are u firing me?!... Huh😳"" so white!",positive
Hehehe. Runs off Facebook,positive
👆🏾 I am meant to understand that it’s Boda B 2020,positive
So today was my last day at area code 7131 to 70,positive
Conga dear....,positive
*congs,positive
Thank you.,positive
pardon?,positive
God speed Joana. May the Lord prosper you in your new place.,positive
Sibitegedde....but since everyone is saying congs. ...congratulations joanna,positive
Amen. Thank you Kate,positive
😆 Thank you Anna,positive
I've left Pauline's place and moved back to my ex🙈,positive
Change what you drink 🍹😂😂😂,positive
Lol... I did 🍶🍵,positive
That radio story isn't true the guy is till alive,positive
Congratulations Joanna,positive
Thank you Tony,positive
Congs Joan. Abundant blessings in the new my dear,positive
Amen thank you Ma.,positive
me toooo am confused also,positive
congratulations Joanna,positive
Congrats Joanna,positive
"Enjoy your new are code and job at standard chartered bank. Keep growing, rising and prospering",positive
Hehe thank you,positive
@dfcu,positive
"Kati is it dfcu or standard chartered. Our best regards,  congratulatory messages and blessings are floating around kla😁",positive
congratulations Joana!,positive
Thank so much. It's DFCU,positive
Thank you Lena,positive
Thank you Irene,positive
Thank you Elsie,positive
Kulika nnyo! Era weebale kubeera kyamuwendo eri bakama bo. Tukwagaliza bilungi byereere mu buvunanyizibwa obupya.,positive
👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,positive
"Kyoka you have been with Pauline, dah. ... baby brains, my bad",positive
Otyo,positive
"the things i pick up on, just to ease my mind, peathe explain the ""baby brains""",positive
yeah! i knew you weren't far,positive
Neyanziza nnyo Ssebo. Nkulaba! Oluganda lwo ndukonedde mu!👊🏽,positive
Baby brains means that Jose was being slow,positive
congratulations Joanna😊,positive
Thanks Adela,positive
Tonny i know u left shell but help me understand y fuel prices are sky rocketing,positive
"There's a current decreases output on the work market, the main fuel companies are negotiating with OPEC to increase output",positive
January 🙈🙈,positive
Haha ehhh,positive
Also your reaction will have him shook for a long time he will think the same thing,positive
👏🏼👏🏼👏🏼👏🏼👏🏼,positive
"One day some friends dropped in on a  couple friend without warning for a cup of tea.The wife pulled the husband aside and said, ""There's no sugar in the house. How can I serve tea?""The husband winked at her and said, ""Make tea without sugar for all. Leave the rest to me.""As soon as the tea was served the husband said to the guests, ""Let's play a game of chance. One cup of tea has no sugar. Whoever gets it will take us all for dinner tonight.""The result?All guests claimed they had never tasted such sweet tea!😂😂😂😂😂😂",positive
😂🌟😭,positive
My mum would love this,positive
Been there still there occasionally but have got to be like the husband,positive
The Lord works in mysterious ways,positive
👍🏼👍🏼👍🏼👍🏼👍🏼,positive
"Ben and Lou Lou, below is ur coming walk",positive
Haha,positive
"You go to Europe or America for 3 months and you come back with a bleached skin...When we ask what happened you say it's the weather...My friend do you know how long Akon, Ngolo Kante, Sakho and Pogba have been there. Please fear God.😜😜😜",positive
Hey guys... Kindly let me know if any of your organisations of attachment have vacancies... Thank you!,positive
where is this🤤🤤,positive
🤤🤤😋😋,positive
???,positive
Amiina,positive
Amiina,positive
Noted mama.,positive
"The business community in Kampala is still in shock after a man who claimed to be a Turkish investor fleeced them of more than sh2b before he fled the country.Karim Hamoude rented the entire 6th floor of Padre Pio House on plot 32, after that he obtained money and office equipment from at  least 20 local companies, The victims supplied him with a number of new expensive items including laptops, office  furniture, printers, extension cables, scanners, desktop computers and carpets for his new office with a promise to pay them on January 31st but took off via Entebbe airport after selling off all items that were given to him after a week of opening the office. He had hired over 50 employees left them without a pay.He also tricked a Forex Bureau when he contacted one in town and told themhe wanted change Uganda shillings into foreign currency, staff of the bureau took Euros 50,000/= (sh229m) and $ 10,000/= to his office last Friday, hopping to get Ug. Shillings. it is alleged that after the Turkish man was handed the foreign currency,he dropped it in a safe and left the office promising to came back after a short call. The Forex bureau employees    waited and waited in vain, the police has since established that there was a hole at the bottom of the safe and the money slipped through to the next room where he picked it and fled to the airport.He never paid for the apartment he had rented in MuyengaOoh Uganda cry my country a lesson to learn here never trust people you hardly know Ugandans fell victims just because this man was white and smart, he had hired only beautiful brown girls in his office and had expensive furniture",positive
"“The steadfast love of the Lord never ceases, his mercies never come to an end. May He crown you with His goodness, and your paths drip with abundance.Happy New month to you all💙",positive
😂😂😂😂😂 Kyoka Pauline....,positive
ohhhh my gosshh nasss😂😂😂😂,positive
Too soon but funny,positive
🤣🤣🤣🤣,positive
😂😂😂😂😂😂the end!!!!,positive
🤣🤣🤣🤣🤣,positive
Lol...,positive
"PRAYER FOR A NEW MONTHDear Heavenly Father I wish to consecrate this new month to you. I wish to walk with you like you did to your beloved friend Enoch so that I may characterize my life with much of your presence.You began with him when he was at 65 years of age and prolonged his life till he was 365 years of age. Out of your favour he was blessed here on earth and didn’t end up dieing, for you took him to heaven.It’s a new month today, I invite you to come and begin with me. Prolong my life span so that I may live to witness much of your blessings. Charge me with authority over my life’s situations. Empower me like you did to the twelve that Jesus chose for himself.Make me a conqueror over all that poses along my path. Free me from any hangovers of last month’s failures. Fill in your blessings on this new page of my life and let me enjoy lots of breakthroughs, opportunities, healing and successes.Repeat upon me the favours you did to your friend Enoch. I believe it’s not late for you to begin with me. Let me win your favour this month of February.IN JESUS NAME I PRAY AND BELIEVE",positive
amen!!!,positive
Happy birthday Uncle John!!!!,positive
Amen...,positive
he says many thanx,positive
Happy happy Birthday Tatta john 🤗😏,positive
Oh... Happy birthday to Uncle John,positive
Happy happy birthday Kojja John,positive
Happy birthday kojja John,positive
thank you,positive
Eeee Happy birthday Uncle John,positive
"St. Mary's #Kitende last year had over 100 students sit for Makerere University law pre-entry exams but only two scored above 50%. Let that first sink in!!!!😊(can I continue!?),  OK!!So kids from St Mary's Kitende can pass both UCE and UACE exams so perfect with almost all PCB/M guys scoring AAA/A well but will fail pre-entry exams at University yet those who scored DDD/C in rural Schools pass highly yet they did the same exams!? Let that also sink in😃😃Does this school compound have ""miracle knowledge wi-fi"" that when you leave u also leave their wisdom behind as well?! Or do the kids over celebrate in vacation and they forget?Please don't quarrel am just asking..",positive
To Jordan Eddie liking too Nene Natalie and crue,positive
Thanks guys 🤗🤗🤗,positive
Happy birthday Kojja John,positive
😂😂,positive
Happy birthday Uncle John,positive
Happy Birthday Kojja John,positive
Good night everyone,positive
Good night JT,positive
👆🏾Same as audio and priest photo that John sent,positive
My last darling happy birthday babe,positive
haaaappppi birthday Popo🎉🎉🎉🎉🎉🎉🎉,positive
Pauline! Happy birthday love!,positive
"Thank you Thomas, @256759071143 @256777140761 @16178173376 💞💕",positive
🎊Happy Birthday Pauline!!🎊,positive
Happy birthday Pauline,positive
Happy birthday Pauline!,positive
"Thank you @Olivia, Kate and Lena💕💞",positive
Happy birthday Pauline! 🤗🤗😘,positive
Thank you Adela🤗,positive
Happy birthday Pauline Nassu beautiful Kardashian,positive
🙈Thanks Jozie,positive
🎂Happy birthday Pauline🎂,positive
Thank you Solomon 🍰,positive
Happy Birthday Pauline,positive
Thank you😊,positive
Happy Birthday sweet bebe🤗🤗,positive
Oh yeah,positive
Thank you Elsie 🤗,positive
Happy birth day pau pau🙃,positive
Thank you Lau Lau,positive
"Happy Birthday Pauline. Hope you've had a beautiful day for the fun soul you are. Wishing you more growth at work, bigger happiness at a personal level, continued fitness, loads of nice food and more divaliscious looks. Wish you more blessings ahead.",positive
We also welcomed JTs 2nd baby boy today.,positive
Jacque and baby are well.,positive
"Oh wow, congratulations John and Jackie on the arrival of yet another bouncing one!",positive
Congratulations JT and family,positive
Love to Jackie,positive
Thank you,positive
Congrats JT and fam and welcome Pauline’s birthday mate,positive
Thank you Irene,positive
Kale good night,positive
Me just posting aimlessly kanebake,positive
Sweet! Ehh ka skin. ..,positive
Hehe if only!,positive
Thanks,positive
"*Kano kankoledde olunaku**Today i asked my wife for a 20000 to go and drink.* *Truly speaking I'm that one guy who doesn't like bathing.**So my wife said she would give me the 20000 on one condition, She said go and bath, i have already run warm water for you in the bathtub.**I went there and just applied some Vaseline Petroleum Jelly.* *Without taking a bath and then rushed back to where she was sitting with the kids.**I told her i have finished bathing and asked her if she could give me the money so that i could go and have a drink.**To my surprise they all started laughing at me and one of my kids said: "" Dad you didn't bath because the money is just under the soap"".**I just left and went straight to bed.*  *I'm still sleeping now because i can't face them*😚😚😚?🙈?🙈🚶🚶🚶🚶🚶",positive
Congratulations JT and Family. Welcome to the new born.,positive
Thanks Joanna... congratulations JT,positive
congratulations JT and Jackie 🙂🙂,positive
congrats JT,positive
congratulations JT,positive
Happy birthday Lena !!! 🤗🤗😘,positive
Thanks a lot everyone,positive
Congrats John .. God bless you and your family,positive
Lena ... happy birthday nyabo ...,positive
Lena pie happy happy birthday !!!,positive
Happy Happy Birthday Lena 🤗🤗😘,positive
Glory to God. 🙌🏽🙌🏽🙌🏽. Congratulations  to JT and J. May you experience pure joy from having this child all the days of your life. In Jesus' Name Amen,positive
Now Lena...... you are just a delight gal. I give glory to God for giving you to us when He did. Have a lovely birthday anniversary. 🤗🤗,positive
👌🏽,positive
Thank you Patsy 😍 Adella 😍 Benzo 😚😂 Irene love 😍Elosie 😍 and  Katie 😍😍,positive
Yee hee!!! Thank you hon,positive
Congratulations John and Jackie!!,positive
Happy birthday day Lena,positive
Tank you Lawle,positive
Congratulations JT,positive
'Hape bus de' Lena,positive
"Oh Lena, happy birthday my  lil one!",positive
Sanks Michael,positive
"Darling Lena, happy birthday. I pray you enjoy your day so much",positive
Happy birthday Nalule dear,positive
Thank you guys so much and thank you for your prayers,positive
"Lena!!! Happy Birthday, Love!!  🎉🎉🎉🎉🎉",positive
Happy Birthday Lena,positive
Thank you Jose 😍Olivia 😍 and John!,positive
🎂Happy birthday day Lena🎂.,positive
Thank you Solomon,positive
Nana... happy birthday ...,positive
Where's the party ?,positive
Thank you honey,positive
Ha party...,positive
Lol...,positive
😂😂,positive
Awright....kona!,positive
🕺🏽🕺🏽,positive
Hahhahahha... Josie .u captured the entire move,positive
What is this,positive
Robbery ... in a plush neighbour hood as if ...,positive
So sad what our country has come to... May God be with us and keep us safe,positive
🤣🤣🤣🤣,positive
"Hahhahahha... Ben, look at the gentleman she carved!",positive
Which one?! 🧐🤪😏,positive
Chribi you disagree?,negative
🤐,positive
Hehhehehehhe. .. pleading the 5th,positive
😁🤐,positive
Even the  fingers on one hand are not equal!!! Cest la vie!!!😘😂,positive
That one 👆🏼👌🏿😎,positive
Noted pliz. ..will do,positive
Ehhh I tell you,positive
Oooohhh ooohhhh!,positive
Smooth operator nanti is the result,positive
Hhehehheheh. ...,positive
Why he was beaten...product is legit 😁,positive
Looking good bruh,positive
Aaa.....Ben I think she deserves a bonquet of flowers for helping u blossom!,positive
🤔,positive
"😂😂😂😂😂 with a note "" mummy webale emboko"" hahhahahah",positive
I deny the allegations of smooth operator ... but sometimes we do clean up nice,positive
"The kracken was beaten into submission I must admit ...no flowers that day hun ... it's Ash Wednesday ...am fasting meaning no biting flowers , choclate or wine ... church rules",positive
Hahhahhahaha aha. ... saved by the ashes once again,positive
Lol... 😅,positive
Popo... Take  the challenge ☝🏽,positive
Specially for mama D Joan and Anna,positive
Thank you,positive
OMG....how refreshing...musangawa?,positive
"Prayer for Finances  (it works)  I claimed it for you now claim it for me.  God has more than a thousand ways to provide for us, that we know nothing about.  Here is your financial Blessing!Heavenly Father, most Gracious and Loving  God, I pray to you that you Abundantly Bless  My family and me.  I know that you recognize, that a Family  is more than just a mother, father, sister, brother, cousin, husband and wife, but all who believe and trust in You.Dear GOD, I send up  a prayer request for  Financial Blessings in 2018 for me and all that I have  forwarded this message to.  And that the power of joined prayers by  those who Believe and Trust in You is  more powerful than anything!  I thank You in advance for Your Blessings.  God, deliver the Person reading this right now  from debt and debt burdens.  Release Your Godly wisdom that I may be a  Good steward over all that You have given me  GOD, for I know how wonderful and mighty  You are and how if we just obey You and walk  in Your word and have the faith of a Mustard  Seed that You will pour out Blessings. I thank You now Lord for the recent Blessings I have received and for the Blessings yet to come, because I know You are not done with me yet.  In Jesus name Amen...send this on quickly  and within hours, you will  have  caused a multitude of people to pray to God for each other. Then sit back and watch the power of God work in your life for doing the things that you  know He loves.  Peace and Blessings....  Have Faith",positive
Amen...,positive
Lol,positive
"*For the wheat lovers!!​*I  am listening to Beth Mugo talking about cancer and I must say our approach towards cancer is what fails us. Beth Mugo continues:""Screening will NOT and cannot lower the cancer cases. Machines and foundations will not stop cancer from spreading! Screening is just getting people who are already sick with cancer. The solution is targeting the people who are NOT sick and teaching them on the way forward so as not to contract cancer.It is senseless to only wait and act on people who are already sick.""Beth is saying that ""there are very many people who are going to India. A friend who has been going to India for the last three years because of cancer told me 50%of people in the cancer clinics in India are usually Kenyans. Sadly, many don't make it even after these treatments, this is the bit that we are never told.The problem in our country is over consuming wheat, animal protein and Sugar. Wheat has a protein called gluten which is the mother of all problems in the immune system. These 3 also aid and encourage the cancer cells to thrive.They also aid the other degenerative diseases especially what i call ""the 3 sisters-disease""(diabetes, athritis and high blood pressure) Believe it or not!I went through the cancer ordeal in 2006, and until I realised I am what I eat,t hat's when I healed. I have seen friends get a diagnosis, go through harsh treatments and eventually die because they only followed conventional medicines. Until and unless we go back to organic foods, fermented foods wimbi porridge for example, natural herbs, there's no end in sight.These are the things that healed me and I have  continued to embrace them as a way of life and that's why cancer has not recurred.Foundations and screenings are good, but we can do better if we teach people on the harmful products that they are consuming every day leading to the degenerative diseases.Otherwise waiting for people to get sick in order to get them through  screening so as to treat them is not logical. Someone is benefiting and I can tell you its not the sick person!""Shared in the interest of Family health.*Senator Beth amigo EGH is a Cancer survivor, and an Elder member of the Anglican Church of Kenya.**Forwarded as received*",positive
"List of TOP schools in UCE 20171. London College of St Lawrence, Maya2. Uganda Matyrs Namugongo3.The Academy St Lawrence4.Kings College Buddo5. Mt St Mary’s Namagunga6. Seeta High School, Mukono7.Mbarara High School8. St Mary's Kitende9.Kisubi Seminary10.Buddo SS11. St Mary’s College Kisubi12.Mt Olive Kakiri13. Naalya SS Bweyogerere14.St Mark’s College15.Namilyango College16.Namirembe Hillside HS17.Seeta High School18.Our Lady of Africa SS19.St Peters SS Nsambya20. Kawempe Muslim School21. Makerere College School22. St Henry’s College Kitovu23.Bweranyangi Girls SS24.Gombe SS25. St Mary’s Voc. Kyamuhunga26.Maryhill High School27. St Andrea Kahwa’s College, Hoima28.Citizens SS, Ibanda29.Iganga SS30.Kiira College Butiki 31. St Mary’s College, Rushoroza32. St Thereza’s Girls’ SS Bwanda33.Kanjuki SS34. Kitgum Matidi Seed School35.Ndejje SS36.Gayaza High School37. St Kizito Katikamu Kisule SS38. Standard College Ntungamo39. Christ the King SS Kalisizo40.Tororo Girls School41.Namiryango SS42.Kibuli SS43. Bishop Cyprian Kihangire SS44.St Catherine Bujuuko45. St Joseph’s Voc. School Mbarara46.Luweero SS47. St Joseph’s Girls Nsambya48. Seeta HSl Green Campus, Mukono49. Kitabi Seminary Bushenyi50.Masaja SS51. Sacred Heart SS Mushanga52.St Jude’s SS Katende53. Green Stars High school Entebbe54.Rubaga Girls55. Turkish Light Academy56.Kisozi H/S57. Trinity College Nabbingo58. St Peter's Tororo59. Cornerstone Leadership Academy60.Nsambya Hillside H/S61.Mita College, Kawempe62. Kyambogo College School63.St Peter’s Naalya64.Mbogo Mixed SS65.Teso College66.Busoga College Mwiri67.Aga Khan High school68. Makerere High School, Migadde69.Hilton H/S Mukono70.Nganwa H/S71.Nsambya SS72.Luzira SS73.Kyadondo SS74.Kitante Hill SS75. St Leo’s College Kyegobe76.Old Kampala SS77.Kigezi High School78.Lubiri SS79.Mityana SS80. St Jude’s SS, Katende81.Crested SS82.Kabowa HS83. Bukala Minor Seminary84. Our Lady of Good Counsel85.Katikamu SS86.Masaka SS87.Mandela SS, Hoima88. Kakungulu Mem. School89.Mvara SS90.Namagabi SS91. Central College, Mityana92.Citizens SS Ibanda93.Wagwa H/S94. St Joseph’s SS, Nagalama95. St Bernard’s S, Mannya96.Bukandula SS97.Mbuya College School98.Faiha H/s, Kawempe99. Kawaala College School y100.Mackay MemorialAnd😳😳😳😳😳😳😳😳 to our school",positive
"An old church in a village in Brazil was leaking and the walls were almost collapsing, after the service the Padre asked the worshipers if they could organize a fundraising to rebuild the church... He told them to contribute whatever God has blessed each and everyone of them with. If you have some money, you can bring the money,if you earn a living by selling tomatoes in the market, you can bring the tomatoes and they get auctioned to raise the money... If you operate a hardware it would be even better, you can bring some nails and iron sheets for the roof... whatever you have. Eventually, it was the day of fundraising and worshippers came out in large numbers, some with money in their pockets others with goods depending on their jobs and sources of livelihood... They were met by a strange sight; a coffin at the entrance of the church!...Gosh! Who had died?... but then again it was on a Sunday and funeral services were never conducted on Sundays.... What was going on? People started talking in whispers asking what was the meaning of it...they started pointing fingers to an old man seated at a corner; he was the coffin maker...some looked at him in open hostility, but he didn't mind them... the Padre had said that people should bring whatever God has blessed you with, right?... and he was a coffin maker... After the service it was time to raise funds ; those who had money contributed, hardware people gave iron sheets and other building equipments and materials ,tomatoes' traders had brought their tomatoes which were auctioned away... Finally, the coffin maker dragged his coffin to the front of the church and stood still... people gasped and fell silent... you could hear a pin drop . Suddenly an old man, a friend of the coffin maker stood up....he offered 15,000 for the coffin on behalf of the padre... said he was buying it for the padre... The Padre shot up so fast with eyes wide open....his lips suddenly very dry. He quickly offered 20,000 for the coffin on behalf of the leader of CWA (Catholic women Association) The Lady nearly stumbled as she sprang to her feet looking so shocked at seeing her coffin..."" No! no! no!"" She shouted ""it is not mine! ...i ...i...i...will buy it for the Catechist!... 30,000 please!... please! The Catechist nearly peed on himself he turned to look at her angrily as if to ask "" do you want to kill me?!"" Clearly nobody wanted the coffin and it kept on being passed around until finally another old rich man stood and said that, he is offering 100,000 for the coffin and he is buying it on behalf of the coffin maker... The coffin maker took his coffin and returned it to his shop....smiling. The coffin maker; someone who was looked down upon, someone whom people jeered that he benefits from the misfortunes of others raised the greatest amount of money for the church without contributing even a single coin. You can serve God in many different ways. Perhaps people belittle you until you see yourself as a nobody.....but God want you just the way you are. He will turn your shame into honor.",positive
Kiseka... A bus has run over people.,positive
